Data,Hora,Latitude,Longitude
14/04/2023,15:50:32,-22.977984,-43.231809
14/04/2023,15:50:42,-22.977994,-43.23181
14/04/2023,15:50:52,-22.977987,-43.231809
14/04/2023,15:51:02,-22.977988,-43.231804
14/04/2023,15:51:12,-22.977986,-43.231806
14/04/2023,15:51:22,-22.977987,-43.231807
14/04/2023,15:51:32,-22.977982,-43.231808
14/04/2023,15:51:42,-22.977988,-43.231819
14/04/2023,15:51:56,-22.977988,-43.231821
14/04/2023,15:52:06,-22.977989,-43.231814
14/04/2023,15:52:16,-22.977991,-43.231819
14/04/2023,15:52:26,-22.977985,-43.231821
14/04/2023,15:52:36,-22.978001,-43.231814
14/04/2023,15:52:46,-22.977987,-43.231809
14/04/2023,15:52:56,-22.978002,-43.23182
14/04/2023,15:53:06,-22.978001,-43.231821
14/04/2023,15:53:16,-22.977987,-43.231814
14/04/2023,15:53:26,-22.977987,-43.231815
14/04/2023,15:53:36,-22.977983,-43.231817
14/04/2023,15:53:46,-22.97799,-43.231812
14/04/2023,15:53:56,-22.977988,-43.231816
14/04/2023,15:54:06,-22.977992,-43.231826
14/04/2023,15:54:16,-22.978011,-43.231812
14/04/2023,15:54:26,-22.977993,-43.231813
14/04/2023,15:54:36,-22.978004,-43.231808
14/04/2023,15:54:46,-22.977983,-43.231806
14/04/2023,15:54:56,-22.977986,-43.231814
14/04/2023,15:55:06,-22.977989,-43.231818
14/04/2023,15:55:16,-22.977988,-43.231805
14/04/2023,15:55:26,-22.977985,-43.231807
14/04/2023,15:55:36,-22.977985,-43.231823
14/04/2023,15:55:46,-22.978004,-43.231811
14/04/2023,15:55:56,-22.977994,-43.23181
14/04/2023,15:56:06,-22.977984,-43.23181
14/04/2023,15:56:16,-22.977983,-43.231817
14/04/2023,15:56:26,-22.977991,-43.231815
14/04/2023,15:56:36,-22.97799,-43.231805
14/04/2023,15:56:46,-22.97798,-43.231804
14/04/2023,15:56:59,-22.977989,-43.231804
14/04/2023,15:57:09,-22.977992,-43.231808
14/04/2023,15:57:19,-22.977984,-43.231805
14/04/2023,15:57:29,-22.977986,-43.231808
14/04/2023,15:57:39,-22.977987,-43.231809
14/04/2023,15:57:49,-22.978002,-43.231815
14/04/2023,15:57:59,-22.977997,-43.231813
14/04/2023,15:58:09,-22.978005,-43.231816
14/04/2023,15:58:19,-22.977994,-43.23181
14/04/2023,15:58:29,-22.978007,-43.231811
14/04/2023,15:58:39,-22.978,-43.231812
14/04/2023,15:58:49,-22.978,-43.231811
14/04/2023,15:58:59,-22.978,-43.231817
14/04/2023,15:59:09,-22.977996,-43.231816
14/04/2023,15:59:19,-22.977993,-43.231819
14/04/2023,15:59:29,-22.977996,-43.231817
14/04/2023,15:59:39,-22.977997,-43.231814
14/04/2023,15:59:49,-22.977983,-43.231809
14/04/2023,15:59:59,-22.97798,-43.231804
14/04/2023,16:00:09,-22.977987,-43.23181
14/04/2023,16:00:19,-22.97798,-43.231813
14/04/2023,16:00:29,-22.978,-43.231821
14/04/2023,16:00:39,-22.977992,-43.231812
14/04/2023,16:00:49,-22.97799,-43.231806
14/04/2023,16:00:59,-22.977983,-43.231809
14/04/2023,16:01:09,-22.977985,-43.231803
14/04/2023,16:01:19,-22.977995,-43.231799
14/04/2023,16:01:30,-22.977984,-43.231804
14/04/2023,16:01:40,-22.978001,-43.2318
14/04/2023,16:01:50,-22.977991,-43.231806
14/04/2023,16:02:00,-22.977987,-43.231806
14/04/2023,16:02:15,-22.977989,-43.231803
14/04/2023,16:02:25,-22.977989,-43.231811
14/04/2023,16:02:35,-22.977987,-43.231814
14/04/2023,16:02:45,-22.977991,-43.231816
14/04/2023,16:02:55,-22.977986,-43.23181
14/04/2023,16:03:05,-22.977993,-43.231813
14/04/2023,16:03:15,-22.977981,-43.231807
14/04/2023,16:03:25,-22.977983,-43.231809
14/04/2023,16:03:35,-22.977986,-43.23181
14/04/2023,16:03:45,-22.977987,-43.231816
14/04/2023,16:03:55,-22.977991,-43.231812
14/04/2023,16:04:05,-22.977985,-43.231812
14/04/2023,16:04:15,-22.977981,-43.231809
14/04/2023,16:04:25,-22.977994,-43.231815
14/04/2023,16:04:35,-22.977981,-43.231817
14/04/2023,16:04:45,-22.977995,-43.231805
14/04/2023,16:04:55,-22.977991,-43.231811
14/04/2023,16:05:05,-22.977984,-43.231807
14/04/2023,16:05:15,-22.977983,-43.231811
14/04/2023,16:05:25,-22.97798,-43.231813
14/04/2023,16:05:35,-22.977981,-43.231814
14/04/2023,16:05:45,-22.977985,-43.231811
14/04/2023,16:05:55,-22.977998,-43.231824
14/04/2023,16:06:05,-22.978003,-43.23182
14/04/2023,16:06:15,-22.977999,-43.231814
14/04/2023,16:06:25,-22.977988,-43.231817
14/04/2023,16:06:35,-22.977995,-43.231811
14/04/2023,16:06:45,-22.97801,-43.231816
14/04/2023,16:06:55,-22.977993,-43.231812
14/04/2023,16:07:05,-22.977985,-43.231809
14/04/2023,16:07:15,-22.97799,-43.231811
14/04/2023,16:07:25,-22.977983,-43.231819
14/04/2023,16:07:35,-22.977991,-43.231803
14/04/2023,16:07:45,-22.977991,-43.231806
14/04/2023,16:07:55,-22.977994,-43.231806
14/04/2023,16:08:05,-22.977991,-43.231806
14/04/2023,16:08:15,-22.977983,-43.231807
14/04/2023,16:08:25,-22.977994,-43.231811
14/04/2023,16:08:35,-22.978005,-43.231809
14/04/2023,16:08:45,-22.977992,-43.231808
14/04/2023,16:08:55,-22.977992,-43.231806
14/04/2023,16:09:05,-22.977986,-43.231805
14/04/2023,16:09:16,-22.977995,-43.231819
14/04/2023,16:09:26,-22.977981,-43.231806
14/04/2023,16:09:36,-22.977984,-43.231812
14/04/2023,16:09:46,-22.977987,-43.231823
14/04/2023,16:09:56,-22.977991,-43.231816
14/04/2023,16:10:06,-22.977984,-43.231814
14/04/2023,16:10:16,-22.978001,-43.231816
14/04/2023,16:10:26,-22.978002,-43.231817
14/04/2023,16:10:36,-22.977993,-43.231818
14/04/2023,16:10:46,-22.977995,-43.231805
14/04/2023,16:10:56,-22.978001,-43.231811
14/04/2023,16:11:06,-22.977995,-43.231817
14/04/2023,16:11:16,-22.977996,-43.231814
14/04/2023,16:11:26,-22.97799,-43.231817
14/04/2023,16:11:36,-22.977991,-43.23182
14/04/2023,16:11:46,-22.97799,-43.231811
14/04/2023,16:11:56,-22.977995,-43.231808
14/04/2023,16:12:06,-22.977995,-43.231809
14/04/2023,16:12:16,-22.977983,-43.231797
14/04/2023,16:12:26,-22.977984,-43.231796
14/04/2023,16:12:36,-22.977976,-43.231803
14/04/2023,16:12:46,-22.977982,-43.231793
14/04/2023,16:12:56,-22.977989,-43.231796
14/04/2023,16:13:06,-22.97798,-43.2318
14/04/2023,16:13:16,-22.977978,-43.231805
14/04/2023,16:13:26,-22.977981,-43.231799
14/04/2023,16:13:36,-22.977983,-43.231797
14/04/2023,16:13:46,-22.978,-43.231811
14/04/2023,16:13:56,-22.977993,-43.231818
14/04/2023,16:14:06,-22.977999,-43.231813
14/04/2023,16:14:16,-22.977998,-43.231813
14/04/2023,16:14:26,-22.977996,-43.231812
14/04/2023,16:14:36,-22.977981,-43.23182
14/04/2023,16:14:46,-22.977987,-43.2318
14/04/2023,16:14:56,-22.978002,-43.231817
14/04/2023,16:15:06,-22.977995,-43.231818
14/04/2023,16:15:16,-22.977987,-43.23181
14/04/2023,16:15:26,-22.978002,-43.231817
14/04/2023,16:15:36,-22.977976,-43.231816
14/04/2023,16:15:46,-22.977989,-43.231802
14/04/2023,16:15:56,-22.977982,-43.231809
14/04/2023,16:16:06,-22.977979,-43.231799
14/04/2023,16:16:16,-22.977978,-43.231809
14/04/2023,16:16:26,-22.977989,-43.231803
14/04/2023,16:16:36,-22.977988,-43.231811
14/04/2023,16:16:46,-22.977987,-43.231815
14/04/2023,16:16:56,-22.977974,-43.231808
14/04/2023,16:17:06,-22.977995,-43.231809
14/04/2023,16:17:16,-22.977997,-43.231805
14/04/2023,16:17:26,-22.977989,-43.231804
14/04/2023,16:17:36,-22.977993,-43.231815
14/04/2023,16:17:46,-22.977991,-43.231817
14/04/2023,16:17:56,-22.977995,-43.231812
14/04/2023,16:18:07,-22.977983,-43.231799
14/04/2023,16:18:17,-22.977986,-43.231807
14/04/2023,16:18:26,-22.977982,-43.231805
14/04/2023,16:18:37,-22.977983,-43.23181
14/04/2023,16:18:47,-22.977994,-43.231808
14/04/2023,16:18:57,-22.977996,-43.231813
14/04/2023,16:19:07,-22.977998,-43.231821
14/04/2023,16:19:17,-22.977996,-43.231816
14/04/2023,16:19:27,-22.977999,-43.231811
14/04/2023,16:19:37,-22.977998,-43.231818
14/04/2023,16:19:47,-22.977996,-43.23181
14/04/2023,16:19:57,-22.977991,-43.231802
14/04/2023,16:20:07,-22.978002,-43.231809
14/04/2023,16:20:17,-22.977995,-43.23181
14/04/2023,16:20:27,-22.977997,-43.231817
14/04/2023,16:20:37,-22.977994,-43.231817
14/04/2023,16:20:47,-22.978004,-43.231822
14/04/2023,16:20:57,-22.977984,-43.231803
14/04/2023,16:21:07,-22.977976,-43.231804
14/04/2023,16:21:17,-22.977982,-43.231796
14/04/2023,16:21:27,-22.977986,-43.231805
14/04/2023,16:21:37,-22.977993,-43.231799
14/04/2023,16:21:47,-22.977994,-43.231808
14/04/2023,16:21:57,-22.977998,-43.231809
14/04/2023,16:22:08,-22.977991,-43.231812
14/04/2023,16:22:18,-22.977987,-43.231814
14/04/2023,16:22:28,-22.977989,-43.231815
14/04/2023,16:22:38,-22.977985,-43.231812
14/04/2023,16:22:48,-22.97799,-43.231811
14/04/2023,16:22:58,-22.977986,-43.231812
14/04/2023,16:23:08,-22.977995,-43.23182
14/04/2023,16:23:18,-22.977973,-43.231812
14/04/2023,16:23:28,-22.977972,-43.231806
14/04/2023,16:23:38,-22.977988,-43.231809
14/04/2023,16:23:48,-22.977982,-43.231791
14/04/2023,16:23:58,-22.977985,-43.231815
14/04/2023,16:24:08,-22.977989,-43.231815
14/04/2023,16:24:18,-22.977984,-43.231808
14/04/2023,16:24:28,-22.978006,-43.23181
14/04/2023,16:24:38,-22.977986,-43.231809
14/04/2023,16:24:48,-22.977996,-43.231807
14/04/2023,16:24:58,-22.977997,-43.231815
14/04/2023,16:25:08,-22.977981,-43.231802
14/04/2023,16:25:18,-22.977995,-43.231812
14/04/2023,16:25:28,-22.97799,-43.23181
14/04/2023,16:25:38,-22.978001,-43.231802
14/04/2023,16:25:48,-22.977982,-43.231807
14/04/2023,16:25:58,-22.977983,-43.231807
14/04/2023,16:26:08,-22.977981,-43.231806
