Data/Hora,"Lat, Long",Latitude,Longitude
27/04/2023 13:10:47,"-22.980883,-43.235337",-22.980883,-43.235337
27/04/2023 13:10:57,"-22.980879,-43.235353",-22.980879,-43.235353
27/04/2023 13:11:07,"-22.980876,-43.235347",-22.980876,-43.235347
27/04/2023 13:11:18,"-22.980886,-43.235349",-22.980886,-43.235349
27/04/2023 13:11:28,"-22.980868,-43.235342",-22.980868,-43.235342
27/04/2023 13:11:38,"-22.980869,-43.235330",-22.980869,-43.23533
27/04/2023 13:11:48,"-22.980876,-43.235352",-22.980876,-43.235352
27/04/2023 13:11:58,"-22.980872,-43.235335",-22.980872,-43.235335
27/04/2023 13:12:08,"-22.980874,-43.235339",-22.980874,-43.235339
27/04/2023 13:12:18,"-22.980886,-43.235343",-22.980886,-43.235343
27/04/2023 13:12:28,"-22.980887,-43.235342",-22.980887,-43.235342
27/04/2023 13:12:38,"-22.980888,-43.235349",-22.980888,-43.235349
27/04/2023 13:12:48,"-22.980884,-43.235350",-22.980884,-43.23535
27/04/2023 13:12:58,"-22.980886,-43.235342",-22.980886,-43.235342
27/04/2023 13:13:08,"-22.980870,-43.235350",-22.98087,-43.23535
27/04/2023 13:13:18,"-22.980878,-43.235350",-22.980878,-43.23535
27/04/2023 13:13:28,"-22.980878,-43.235340",-22.980878,-43.23534
27/04/2023 13:13:38,"-22.980887,-43.235348",-22.980887,-43.235348
27/04/2023 13:13:48,"-22.980881,-43.235345",-22.980881,-43.235345
27/04/2023 13:13:58,"-22.980893,-43.235349",-22.980893,-43.235349
27/04/2023 13:14:08,"-22.980875,-43.235355",-22.980875,-43.235355
27/04/2023 13:14:18,"-22.980893,-43.235345",-22.980893,-43.235345
27/04/2023 13:14:28,"-22.980884,-43.235350",-22.980884,-43.23535
27/04/2023 13:14:38,"-22.980880,-43.235346",-22.98088,-43.235346
27/04/2023 13:14:48,"-22.980877,-43.235351",-22.980877,-43.235351
27/04/2023 13:14:58,"-22.980871,-43.235347",-22.980871,-43.235347
27/04/2023 13:15:09,"-22.980887,-43.235347",-22.980887,-43.235347
27/04/2023 13:15:19,"-22.980876,-43.235346",-22.980876,-43.235346
27/04/2023 13:15:29,"-22.980882,-43.235347",-22.980882,-43.235347
27/04/2023 13:15:39,"-22.980878,-43.235354",-22.980878,-43.235354
27/04/2023 13:15:49,"-22.980878,-43.235357",-22.980878,-43.235357
27/04/2023 13:15:59,"-22.980877,-43.235348",-22.980877,-43.235348
27/04/2023 13:16:09,"-22.980883,-43.235349",-22.980883,-43.235349
